dataset,sweep,value,is_main,model,pooled_test_auc,f1_optimal_test,quantile_shrink_test,quantile_shrink_gain,oracle_ceiling,oracle_headroom,mean_shrink_w_test,c,alpha,k,f1_optimal_tau,median_cubes_per_scene,total_kept_cubes,pct_zero_change_cubes,cube_drop_pct,n_val_scenes,n_test_scenes
urb3dcd_v2_ld,cube,25,0,siamese_pointnet,0.9129,0.6844,0.7153,0.0309,0.7954,0.111,0.979,0.46,0.75,0.0,0.7,411.0,7866,16.9,25.5,2,3
urb3dcd_v2_ld,cube,25,0,siamese_pointnet2,0.9692,0.8174,0.8171,-0.0003,0.858,0.0406,0.778,0.72,0.5,64.0,0.72,411.0,7866,16.9,25.5,2,3
urb3dcd_v2_ld,cube,25,0,siamese_kpconv,0.7001,0.4175,0.4195,0.002,0.5604,0.1429,0.058,-0.06,0.999,4096.0,0.42,411.0,7866,16.9,25.5,2,3
urb3dcd_v2_ld,cube,25,0,siamgcn,0.9397,0.7363,0.7183,-0.018,0.8205,0.0842,0.993,0.24,0.5,0.0,0.46,411.0,7866,16.9,25.5,2,3
urb3dcd_v2_ld,cube,25,0,icp_euclidean,0.9257,0.7291,0.7292,0.0,0.8164,0.0872,0.056,0.06,1.0,4096.0,0.56,411.0,7866,16.9,25.5,2,3
urb3dcd_v2_ld,cube,50,1,siamese_pointnet,0.9104,0.7215,0.7268,0.0054,0.7772,0.0558,0.983,0.12,0.5,0.0,0.28,140.0,2582,2.9,9.8,2,3
urb3dcd_v2_ld,cube,50,1,siamese_pointnet2,0.9599,0.7861,0.7864,0.0003,0.8139,0.0278,0.186,0.68,0.6,4096.0,0.7,140.0,2582,2.9,9.8,2,3
urb3dcd_v2_ld,cube,50,1,siamese_kpconv,0.9455,0.7574,0.7618,0.0043,0.7949,0.0375,0.997,0.42,0.75,0.0,0.7,140.0,2582,2.9,9.8,2,3
urb3dcd_v2_ld,cube,50,1,siamgcn,0.978,0.8433,0.8433,0.0,0.8691,0.0258,0.188,0.66,0.5,4096.0,0.66,140.0,2582,2.9,9.8,2,3
urb3dcd_v2_ld,cube,50,1,icp_euclidean,0.9311,0.7332,0.7332,-0.0,0.7812,0.048,0.46,0.02,1.0,1024.0,0.52,140.0,2582,2.9,9.8,2,3
urb3dcd_v2_ld,cube,75,0,siamese_pointnet,0.8895,0.6977,0.6976,-0.0001,0.7346,0.0368,0.964,0.18,0.7,64.0,0.46,70.0,1256,1.4,8.8,2,3
urb3dcd_v2_ld,cube,75,0,siamese_pointnet2,0.9446,0.7506,0.7505,-0.0001,0.7714,0.0208,0.318,0.7,0.6,4096.0,0.72,70.0,1256,1.4,8.8,2,3
urb3dcd_v2_ld,cube,75,0,siamese_kpconv,0.899,0.6248,0.6265,0.0017,0.6817,0.0569,0.997,0.58,0.85,0.0,0.46,70.0,1256,1.4,8.8,2,3
urb3dcd_v2_ld,cube,75,0,siamgcn,0.9486,0.7636,0.7635,-0.0001,0.7984,0.0348,0.965,0.34,0.9,64.0,0.56,70.0,1256,1.4,8.8,2,3
urb3dcd_v2_ld,cube,75,0,icp_euclidean,0.9318,0.7367,0.7367,-0.0,0.7736,0.0368,0.316,0.02,1.0,4096.0,0.52,70.0,1256,1.4,8.8,2,3
urb3dcd_v2_ms,cube,25,0,siamese_pointnet,0.5711,0.3167,0.2159,-0.1008,0.4878,0.1711,0.0,0.84,0.5,0.0,0.84,452.0,8545,15.4,19.3,2,3
urb3dcd_v2_ms,cube,25,0,siamese_pointnet2,0.8698,0.5989,0.6044,0.0055,0.6646,0.0657,0.516,0.4,0.5,4096.0,0.62,452.0,8545,15.4,19.3,2,3
urb3dcd_v2_ms,cube,25,0,siamese_kpconv,0.5,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.5,0.0,0.02,452.0,8545,15.4,19.3,2,3
urb3dcd_v2_ms,cube,25,0,siamgcn,0.5934,0.3121,0.3138,0.0017,0.4713,0.1592,0.396,0.16,0.5,4096.0,0.3,452.0,8545,15.4,19.3,2,3
urb3dcd_v2_ms,cube,25,0,randla,0.966,0.8269,0.8269,-0.0,0.854,0.0271,1.0,0.16,1.0,0.0,0.66,452.0,8545,15.4,19.3,2,3
urb3dcd_v2_ms,cube,25,0,icp_euclidean,0.9015,0.7128,0.7123,-0.0005,0.7372,0.0244,0.406,0.38,0.99,4096.0,0.88,452.0,8545,15.4,19.3,2,3
urb3dcd_v2_ms,cube,50,1,siamese_pointnet,0.5596,0.3028,0.3028,0.0,0.3236,0.0208,0.0,0.98,0.5,0.0,0.98,142.0,2603,3.0,9.4,2,3
urb3dcd_v2_ms,cube,50,1,siamese_pointnet2,0.9149,0.6808,0.6811,0.0003,0.7261,0.0453,0.947,0.34,0.5,1024.0,0.34,142.0,2603,3.0,9.4,2,3
urb3dcd_v2_ms,cube,50,1,siamese_kpconv,0.9185,0.6822,0.6939,0.0117,0.7152,0.033,0.983,0.48,0.97,0.0,0.98,142.0,2603,3.0,9.4,2,3
urb3dcd_v2_ms,cube,50,1,siamgcn,0.6768,0.4051,0.4284,0.0233,0.4517,0.0466,1.0,0.32,0.5,0.0,0.42,142.0,2603,3.0,9.4,2,3
urb3dcd_v2_ms,cube,50,1,randla,0.9573,0.8052,0.8062,0.001,0.8274,0.0222,1.0,0.7,0.5,0.0,0.74,142.0,2603,3.0,9.4,2,3
