dataset,sweep,value,is_main,model,pooled_test_auc,f1_optimal_test,quantile_shrink_test,quantile_shrink_gain,oracle_ceiling,oracle_headroom,mean_shrink_w_test,c,alpha,k,f1_optimal_tau,median_cubes_per_scene,total_kept_cubes,pct_zero_change_cubes,cube_drop_pct,n_val_scenes,n_test_scenes
urb3dcd_v2_ld,fps,256,0,siamese_pointnet,0.8385,0.6401,0.6456,0.0055,0.6868,0.0466,0.992,0.18,0.925,0.0,0.62,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,256,0,siamese_pointnet2,0.9508,0.7679,0.7667,-0.0012,0.811,0.0431,0.473,0.58,0.85,1024.0,0.64,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,256,0,siamese_kpconv,0.8043,0.4708,0.4707,-0.0002,0.554,0.0832,0.128,0.34,0.99,4096.0,0.82,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,256,0,siamgcn,0.9278,0.7331,0.7387,0.0056,0.7795,0.0463,1.0,0.54,0.5,0.0,0.62,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,512,0,siamese_pointnet,0.8881,0.6961,0.701,0.0049,0.7541,0.058,0.984,0.26,0.5,0.0,0.56,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,512,0,siamese_pointnet2,0.9572,0.7821,0.7812,-0.0009,0.8129,0.0308,0.93,0.72,0.6,64.0,0.72,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,512,0,siamese_kpconv,0.8774,0.587,0.5871,0.0001,0.6684,0.0814,0.195,0.08,0.5,4096.0,0.08,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,512,0,siamgcn,0.9616,0.8006,0.8013,0.0007,0.8365,0.0359,0.932,0.46,0.6,64.0,0.48,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,1024,1,siamese_pointnet,0.9104,0.7215,0.7268,0.0054,0.7772,0.0558,0.983,0.12,0.5,0.0,0.28,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,1024,1,siamese_pointnet2,0.9599,0.7861,0.7864,0.0003,0.8139,0.0278,0.186,0.68,0.6,4096.0,0.7,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,1024,1,siamese_kpconv,0.9455,0.7574,0.7618,0.0043,0.7949,0.0375,0.997,0.42,0.75,0.0,0.7,140.0,2582,2.9,,2,3
urb3dcd_v2_ld,fps,1024,1,siamgcn,0.978,0.8433,0.8433,0.0,0.8691,0.0258,0.188,0.66,0.5,4096.0,0.66,140.0,2582,2.9,,2,3
urb3dcd_v2_ms,fps,256,0,siamese_pointnet,0.8545,0.6236,0.6369,0.0133,0.6858,0.0622,0.997,0.2,0.8,0.0,0.58,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,256,0,siamese_pointnet2,0.94,0.7449,0.7447,-0.0002,0.7865,0.0416,0.808,0.22,0.999,4096.0,0.68,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,256,0,siamese_kpconv,0.6636,0.3733,0.3646,-0.0087,0.425,0.0517,0.78,0.02,0.5,4096.0,0.02,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,256,0,siamgcn,0.9226,0.7267,0.7263,-0.0003,0.7585,0.0318,0.996,0.5,0.7,64.0,0.56,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,256,0,randla,0.9477,0.7838,0.7833,-0.0005,0.8135,0.0297,0.808,0.22,1.0,4096.0,0.7,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,512,0,siamese_pointnet,0.8179,0.5338,0.5697,0.0358,0.6501,0.1162,0.999,0.48,0.7,0.0,0.8,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,512,0,siamese_pointnet2,0.9465,0.754,0.7561,0.002,0.7909,0.0368,0.808,0.7,0.5,4096.0,0.74,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,512,0,siamese_kpconv,0.8393,0.5345,0.5595,0.0251,0.6157,0.0812,0.984,0.52,0.85,0.0,0.68,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,512,0,siamgcn,0.9453,0.781,0.7805,-0.0006,0.8165,0.0355,1.0,0.26,0.75,0.0,0.36,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,512,0,randla,0.9598,0.8081,0.8087,0.0006,0.8368,0.0287,0.942,0.74,0.5,1024.0,0.76,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,1024,0,siamese_pointnet,0.7551,0.4515,0.4797,0.0281,0.5854,0.1339,0.963,0.48,0.75,4.0,0.92,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,1024,0,siamese_pointnet2,0.94,0.7366,0.7347,-0.0019,0.7568,0.0202,0.941,0.28,0.97,1024.0,0.7,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,1024,0,siamese_kpconv,0.9069,0.649,0.6458,-0.0032,0.6884,0.0394,0.721,0.46,0.925,4096.0,0.9,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,1024,0,siamgcn,0.9266,0.7007,0.7585,0.0578,0.7912,0.0905,0.987,0.52,0.8,0.0,0.76,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,1024,0,randla,0.9594,0.8137,0.8139,0.0002,0.8371,0.0234,1.0,0.68,0.5,0.0,0.66,142.0,2603,3.0,,2,3
urb3dcd_v2_ms,fps,2048,0,siamese_pointnet,0.5719,0.3074,0.2944,-0.013,0.3838,0.0764,0.025,0.46,0.5,0.0,0.94,142.0,2603,3.0,,2,3
