dataset,model,n_test_cubes,n_pos_cubes,deployed_tau,oracle_full_f1,globalB_f1,oracleB_f1,crossfit_f1,optimism_gap,reported_headroom_B,honest_headroom_B,honest_frac,n_reg_cubes,linreg_cv_r2_nconly,rf_cv_r2_nconly,linreg_cv_r2_bothsides,rf_cv_r2_bothsides,spearman_tm_oracle
urb3dcd_v2_ld,icp_euclidean,765,742,0.52,0.7865,0.7417,0.7907,0.7768,0.0139,0.049,0.0351,0.7164,742,0.0521,0.0751,0.1333,0.1613,0.0959
urb3dcd_v2_ld,siamese_kpconv,765,742,0.7,0.7997,0.7629,0.8074,0.7919,0.0155,0.0445,0.029,0.6526,740,0.0915,0.0298,0.1076,0.0907,0.2189
urb3dcd_v2_ld,siamese_pointnet,765,742,0.28,0.78,0.7268,0.7843,0.7689,0.0154,0.0575,0.0421,0.7321,729,0.0562,0.1171,0.0657,0.1159,0.0556
urb3dcd_v2_ld,siamese_pointnet2,765,742,0.7,0.815,0.7883,0.8201,0.8064,0.0137,0.0318,0.0181,0.5702,742,-0.0731,0.1137,-0.0219,0.1524,-0.0758
urb3dcd_v2_ld,siamgcn,765,742,0.66,0.8698,0.8456,0.8751,0.8598,0.0153,0.0294,0.0142,0.4816,742,0.0643,0.016,0.0756,0.0572,-0.1097
urb3dcd_v2_ms,icp_euclidean,768,746,0.88,0.7322,0.7236,0.7362,0.7322,0.004,0.0126,0.0085,0.6796,746,0.0325,-0.011,0.022,0.0384,-0.1121
urb3dcd_v2_ms,randla,768,746,0.74,0.8275,0.8042,0.8281,0.8267,0.0014,0.0239,0.0225,0.9409,746,0.0346,0.0492,0.1221,0.154,0.0176
urb3dcd_v2_ms,siamese_kpconv,768,746,0.98,0.7204,0.6863,0.7221,0.7205,0.0016,0.0358,0.0342,0.9555,734,-0.0526,-0.1682,-0.0813,-0.0433,0.1421
urb3dcd_v2_ms,siamese_pointnet,768,746,0.98,0.328,0.3051,0.3286,0.3281,0.0005,0.0234,0.023,0.979,0,,,,,
urb3dcd_v2_ms,siamese_pointnet2,768,746,0.34,0.7289,0.6825,0.7304,0.7284,0.002,0.0479,0.0459,0.959,746,-0.0156,0.0346,0.0604,0.0998,0.0271
urb3dcd_v2_ms,siamgcn,768,746,0.42,0.4605,0.4097,0.461,0.4582,0.0028,0.0513,0.0485,0.9456,746,0.1843,0.1131,0.2035,0.1408,0.3697
hkcd,icp_euclidean,358,292,0.98,0.6643,0.6272,0.6642,0.6639,0.0004,0.037,0.0366,0.9902,292,0.2601,0.2465,0.2629,0.2483,-0.1445
hkcd,randla,358,292,0.54,0.7248,0.6877,0.7267,0.7263,0.0003,0.039,0.0386,0.9912,289,0.0777,0.0885,0.0659,0.096,0.3639
hkcd,siamese_kpconv,358,292,0.02,0.3085,0.2424,0.3179,0.3091,0.0087,0.0755,0.0667,0.8841,92,0.3523,0.3398,0.3113,0.358,0.5615
hkcd,siamese_pointnet,358,292,0.5,0.5542,0.4993,0.5549,0.5559,-0.001,0.0556,0.0566,1.0185,260,0.1742,0.2319,0.1976,0.2222,0.5786
hkcd,siamese_pointnet2,358,292,0.62,0.7207,0.7101,0.7285,0.7221,0.0063,0.0184,0.0121,0.6551,291,0.0192,0.0515,0.037,0.1224,0.3225
hkcd,siamgcn,358,292,0.78,0.7528,0.6364,0.754,0.7513,0.0027,0.1176,0.1149,0.977,285,0.3062,0.3139,0.3048,0.3343,0.3988
indoorcd,randla,1329,284,0.82,0.4198,0.3996,0.4231,0.4193,0.0038,0.0235,0.0197,0.8386,284,0.1828,0.1975,0.2082,0.2348,0.4461
indoorcd,siamese_kpconv,1329,284,0.68,0.3,0.1209,0.2986,0.3002,-0.0016,0.1777,0.1793,1.009,273,0.0222,-0.0233,0.0303,0.006,0.0183
indoorcd,siamese_pointnet,1329,284,0.84,0.2882,0.297,0.287,0.2859,0.001,-0.0101,-0.0111,,284,0.3545,0.4192,0.3563,0.4074,0.3329
indoorcd,siamese_pointnet2,1329,284,0.82,0.4517,0.4048,0.452,0.4531,-0.0012,0.0472,0.0484,1.0245,284,0.3268,0.2981,0.3439,0.3738,0.3714
indoorcd,siamgcn,1329,284,0.78,0.3225,0.3091,0.3231,0.3211,0.002,0.014,0.012,0.8581,284,0.4191,0.4004,0.4328,0.4048,0.4258
