model,scene,split,n,change_ratio,auc,f1_at_0.5,best_global_f1,best_global_tau,percube_oracle_pooled,percube_oracle_meancube
icp_euclidean,11-NE-12B,test,4135853,0.1257,0.9415,0.3694,0.7014,0.98,0.7439,0.4042
icp_euclidean,11-NE-12C,test,2164973,0.1018,0.8463,0.2628,0.4754,0.98,0.5122,0.3981
icp_euclidean,11-NE-13D,val,4726996,0.2783,0.8922,0.5745,0.7494,0.98,0.8015,0.4832
icp_euclidean,POOLED,val,4726996,0.2783,0.8922,0.5745,0.7494,0.98,,
icp_euclidean,POOLED,test,6300826,0.1175,0.9157,0.3302,0.6276,0.98,,
randla,11-NE-12B,test,4135853,0.1257,0.967,0.7955,0.8071,0.62,0.8157,0.546
randla,11-NE-12C,test,2164973,0.1018,0.786,0.4251,0.4343,0.62,0.5541,0.5001
randla,11-NE-13D,val,4726996,0.2783,0.9207,0.7883,0.7895,0.54,0.8131,0.5824
randla,POOLED,val,4726996,0.2783,0.9207,0.7883,0.7895,0.54,,
randla,POOLED,test,6300826,0.1175,0.9255,0.6798,0.7042,0.68,,
siamese_kpconv,11-NE-12B,test,4135853,0.1257,0.6096,0.2893,0.3045,0.26,0.3604,0.1969
siamese_kpconv,11-NE-12C,test,2164973,0.1018,0.5253,0.1669,0.1682,0.98,0.207,0.1744
siamese_kpconv,11-NE-13D,val,4726996,0.2783,0.3912,0.324,0.368,0.02,0.4188,0.2609
siamese_kpconv,POOLED,val,4726996,0.2783,0.3912,0.324,0.368,0.02,,
siamese_kpconv,POOLED,test,6300826,0.1175,0.5692,0.2454,0.2566,0.26,,
siamese_pointnet,11-NE-12B,test,4135853,0.1257,0.9232,0.7302,0.7332,0.56,0.6471,0.3716
siamese_pointnet,11-NE-12C,test,2164973,0.1018,0.5898,0.2098,0.2178,0.38,0.4127,0.3428
siamese_pointnet,11-NE-13D,val,4726996,0.2783,0.8904,0.7283,0.7283,0.5,0.7288,0.4477
siamese_pointnet,POOLED,val,4726996,0.2783,0.8904,0.7283,0.7283,0.5,,
siamese_pointnet,POOLED,test,6300826,0.1175,0.8391,0.4999,0.5725,0.74,,
siamese_pointnet2,11-NE-12B,test,4135853,0.1257,0.9678,0.7764,0.8048,0.74,0.7916,0.4945
siamese_pointnet2,11-NE-12C,test,2164973,0.1018,0.8183,0.4919,0.5066,0.66,0.5656,0.507
siamese_pointnet2,11-NE-13D,val,4726996,0.2783,0.9164,0.7558,0.7622,0.62,0.8219,0.5515
siamese_pointnet2,POOLED,val,4726996,0.2783,0.9164,0.7558,0.7622,0.62,,
siamese_pointnet2,POOLED,test,6300826,0.1175,0.9273,0.6864,0.7186,0.74,,
siamgcn,11-NE-12B,test,4135853,0.1257,0.9654,0.6713,0.8013,0.88,0.8355,0.558
siamgcn,11-NE-12C,test,2164973,0.1018,0.7531,0.2946,0.4328,0.9,0.5808,0.5207
siamgcn,11-NE-13D,val,4726996,0.2783,0.9129,0.751,0.7835,0.78,0.8504,0.5997
siamgcn,POOLED,val,4726996,0.2783,0.9129,0.751,0.7835,0.78,,
siamgcn,POOLED,test,6300826,0.1175,0.9106,0.5067,0.6933,0.9,,
