split,scene,path,pts_t0,pts_t1,xmin,ymin,zmin,xmax,ymax,zmax,ext_x,ext_y,ext_z,change_ratio,cubes_occupied,cubes_kept,cubes_dropped,med_pts_cube_t0,med_pts_cube_t1,class_0,class_1
test,Test/11-NE-12B,data/raw/HKCD\Test\11-NE-12B,4668545,4135853,-367.3446044921875,-292.5975341796875,-94.88115692138672,373.9545593261719,297.4208984375,94.0431137084961,741.2991943359375,590.0184326171875,188.9242706298828,0.12570852977608246,180,180,0,18349,17099,3615941,519912
test,Test/11-NE-12C,data/raw/HKCD\Test\11-NE-12C,2366430,2166165,-376.7320556640625,-296.95367431640625,-81.52043914794922,371.6258544921875,301.619384765625,80.51507568359375,748.35791015625,598.5730590820312,162.0355224609375,0.10176002289760937,180,178,2,12086,11077,1945736,220429
train,Train/11-NE-11A,data/raw/HKCD\Train\11-NE-11A,3325912,2110101,-381.7612609863281,-324.6886901855469,-92.61012268066406,306.447998046875,273.227294921875,92.61012268066406,688.209228515625,597.916015625,185.22024536132812,0.11092976118204768,168,168,0,17732,11046,1876028,234073
train,Train/11-NE-11B,data/raw/HKCD\Train\11-NE-11B,3378074,2469380,-372.52880859375,-298.8243408203125,-91.70265197753906,376.466064453125,296.733154296875,90.11349487304688,748.994873046875,595.5574951171875,181.81614685058594,0.3827304829552357,180,180,0,9389,7168,1524273,945107
train,Train/11-NE-11C,data/raw/HKCD\Train\11-NE-11C,1087285,832380,37551.53125,20383.580078125,-10.683062553405762,38262.953125,20976.361328125,166.89633178710938,711.421875,592.78125,177.5793914794922,0.4429203008241428,155,152,3,6255,5060,463702,368678
train,Train/11-NE-11D,data/raw/HKCD\Train\11-NE-11D,1236337,1318738,-360.08843994140625,-303.8841552734375,-78.86090850830078,388.711669921875,294.2590026855469,78.79051971435547,748.8001098632812,598.1431884765625,157.65142822265625,0.6248534583821805,180,180,0,5984,6211,494720,824018
train,Train/11-NE-12A,data/raw/HKCD\Train\11-NE-12A,4201126,3641685,-374.54571533203125,-295.0575866699219,-70.86151885986328,368.389404296875,298.42633056640625,70.91976928710938,742.9351196289062,593.48388671875,141.78128051757812,0.04729376648447079,180,180,0,15542,16378,3469456,172229
train,Train/11-NE-12D,data/raw/HKCD\Train\11-NE-12D,4665168,3966979,-329.8674621582031,-215.48619079589844,-93.97920989990234,419.159423828125,381.9667663574219,95.34379577636719,749.02685546875,597.4529418945312,189.322998046875,0.029961338338317395,180,180,0,14053,15079,3848123,118856
train,Train/11-NE-1B,data/raw/HKCD\Train\11-NE-1B,3053891,3227189,38249.2890625,23402.6640625,88.24539947509766,38999.421875,23719.96875,271.9170837402344,750.1328125,317.3046875,183.67169189453125,0.03390380916642936,106,105,1,17189,26253,3117775,109414
train,Train/11-NE-1D,data/raw/HKCD\Train\11-NE-1D,6452585,5149010,-373.03564453125,-298.4051513671875,-104.33790588378906,372.959716796875,297.9091796875,104.32684326171875,745.995361328125,596.3143310546875,208.6647491455078,0.031476536266194864,180,180,0,24376,20814,4986937,162073
train,Train/11-NE-6A,data/raw/HKCD\Train\11-NE-6A,4882911,3324645,-377.6136474609375,-298.022705078125,-83.66014862060547,369.34405517578125,299.1495361328125,73.24503326416016,746.9577026367188,597.1722412109375,156.90518188476562,0.03370224490133533,180,180,0,20704,14604,3212597,112048
train,Train/11-NE-6B,data/raw/HKCD\Train\11-NE-6B,5074772,3827791,-382.3742370605469,-292.9058532714844,-86.35298156738281,364.9725341796875,284.9137268066406,82.77955627441406,747.3468017578125,577.819580078125,169.13253784179688,0.07032881366824886,180,180,0,17833,16402,3558587,269204
train,Train/11-NE-6C,data/raw/HKCD\Train\11-NE-6C,4445752,2975485,-374.02099609375,-298.40234375,-158.87753295898438,374.9239196777344,300.178466796875,158.87826538085938,748.9449462890625,598.580810546875,317.75579833984375,0.04321379539806116,180,180,0,20268,13453,2846903,128582
train,Train/11-NE-6D,data/raw/HKCD\Train\11-NE-6D,4191852,2921538,-383.2720947265625,-307.8505859375,-92.7253189086914,365.5838623046875,294.22515869140625,91.68992614746094,748.85595703125,602.0757446289062,184.41525268554688,0.09002895050483684,183,182,1,18086,13902,2658515,263023
train,Train/11-NE-7A,data/raw/HKCD\Train\11-NE-7A,4462862,3925256,-379.421630859375,-311.0426940917969,-95.16213989257812,371.504638671875,273.0386962890625,95.28606414794922,750.92626953125,584.0814208984375,190.44821166992188,0.0626782049374614,181,180,1,20041,20316,3679228,246028
train,Train/11-NE-7C,data/raw/HKCD\Train\11-NE-7C,2925854,2906007,-375.888427734375,-304.733154296875,-95.45924377441406,374.314208984375,295.1953125,95.45923614501953,750.20263671875,599.928466796875,190.91848754882812,0.0652066564189281,181,180,1,14362,14936,2716516,189491
train,Train/11-NE-7D,data/raw/HKCD\Train\11-NE-7D,4442786,4539323,-361.5986328125,-296.8203125,-111.93050384521484,386.90087890625,302.8046569824219,111.00157165527344,748.49951171875,599.625,222.93206787109375,0.05463898471203746,180,180,0,19336,24049,4291299,248024
val,Val/11-NE-13D,data/raw/HKCD\Val\11-NE-13D,5003980,4726996,-328.797119140625,-245.44677734375,-100.64213562011719,418.9323425292969,354.3450012207031,111.40242004394531,747.7294921875,599.791748046875,212.0445556640625,0.2783006374450074,180,180,0,21504,20347,3411470,1315526
