dataset,model,method,val_mean_p,val_mean_r,val_mean_f1,test_mean_p,test_mean_r,test_mean_f1,val_pool_p,val_pool_r,val_pool_f1,test_pool_p,test_pool_r,test_pool_f1
urb3dcd_v2_ld,icp_euclidean,quantile,0.6958,0.837,0.7598,0.639,0.873,0.733,0.6958,0.8347,0.7589,0.6482,0.8652,0.7411
urb3dcd_v2_ld,icp_euclidean,quantile_shrink,0.6969,0.8358,0.76,0.6396,0.8722,0.7332,0.6969,0.8336,0.7591,0.6488,0.8644,0.7413
urb3dcd_v2_ld,siamese_kpconv,quantile,0.7924,0.8026,0.7972,0.7403,0.784,0.7613,0.7894,0.8032,0.7962,0.7481,0.786,0.7666
urb3dcd_v2_ld,siamese_kpconv,quantile_shrink,0.7924,0.8026,0.7972,0.7412,0.784,0.7618,0.7894,0.8032,0.7962,0.7489,0.786,0.767
urb3dcd_v2_ld,siamese_pointnet,quantile,0.7558,0.7597,0.7576,0.6648,0.8118,0.7266,0.7549,0.7568,0.7558,0.6737,0.8019,0.7322
urb3dcd_v2_ld,siamese_pointnet,quantile_shrink,0.7558,0.7597,0.7576,0.6652,0.8118,0.7268,0.7549,0.7568,0.7558,0.674,0.8019,0.7324
urb3dcd_v2_ld,siamese_pointnet2,quantile,0.8093,0.8312,0.8196,0.7885,0.7849,0.7863,0.8055,0.8327,0.8189,0.7933,0.7816,0.7874
urb3dcd_v2_ld,siamese_pointnet2,quantile_shrink,0.8062,0.8345,0.8196,0.7888,0.7849,0.7864,0.8026,0.8358,0.8189,0.7936,0.7817,0.7876
urb3dcd_v2_ld,siamgcn,quantile,0.8586,0.8255,0.8415,0.8296,0.8567,0.8425,0.855,0.8252,0.8398,0.8354,0.8533,0.8442
urb3dcd_v2_ld,siamgcn,quantile_shrink,0.8625,0.8222,0.8417,0.8344,0.8533,0.8433,0.8589,0.8219,0.84,0.8399,0.8499,0.8449
urb3dcd_v2_ms,icp_euclidean,quantile,0.7393,0.7372,0.7381,0.6604,0.7943,0.7164,0.7386,0.7343,0.7364,0.6694,0.7847,0.7225
urb3dcd_v2_ms,icp_euclidean,quantile_shrink,0.7393,0.7372,0.7381,0.6604,0.7943,0.7164,0.7386,0.7343,0.7364,0.6694,0.7847,0.7225
urb3dcd_v2_ms,randla,quantile,0.8353,0.8036,0.819,0.8333,0.7813,0.8062,0.8323,0.8035,0.8177,0.8338,0.7781,0.805
urb3dcd_v2_ms,randla,quantile_shrink,0.8353,0.8036,0.819,0.8333,0.7813,0.8062,0.8323,0.8035,0.8177,0.8338,0.7781,0.805
urb3dcd_v2_ms,siamese_kpconv,quantile,0.6383,0.7612,0.6941,0.6635,0.7292,0.6946,0.6383,0.7636,0.6953,0.6706,0.7308,0.6994
urb3dcd_v2_ms,siamese_kpconv,quantile_shrink,0.6362,0.7614,0.693,0.6622,0.7292,0.6939,0.6363,0.7638,0.6942,0.6692,0.7309,0.6987
urb3dcd_v2_ms,siamese_pointnet,quantile,0.2121,0.7244,0.3271,0.1865,0.8686,0.3028,0.2125,0.7126,0.3274,0.1852,0.864,0.305
urb3dcd_v2_ms,siamese_pointnet,quantile_shrink,0.2121,0.7244,0.3271,0.1865,0.8686,0.3028,0.2125,0.7126,0.3274,0.1852,0.864,0.305
urb3dcd_v2_ms,siamese_pointnet2,quantile,0.7147,0.7379,0.7261,0.6928,0.6711,0.6811,0.7142,0.7379,0.7259,0.6988,0.6665,0.6823
urb3dcd_v2_ms,siamese_pointnet2,quantile_shrink,0.7146,0.7381,0.7261,0.6927,0.6712,0.6811,0.7141,0.738,0.7259,0.6987,0.6666,0.6823
urb3dcd_v2_ms,siamgcn,quantile,0.5031,0.4793,0.4899,0.3648,0.5449,0.4284,0.5031,0.4721,0.4871,0.3639,0.5331,0.4326
urb3dcd_v2_ms,siamgcn,quantile_shrink,0.5031,0.4793,0.4899,0.3648,0.5449,0.4284,0.5031,0.4721,0.4871,0.3639,0.5331,0.4326
hkcd,icp_euclidean,quantile,0.8784,0.6853,0.7699,0.6699,0.5892,0.6263,0.8784,0.6853,0.7699,0.7376,0.657,0.695
hkcd,icp_euclidean,quantile_shrink,0.8764,0.6868,0.7701,0.6697,0.5986,0.6316,0.8764,0.6868,0.7701,0.7348,0.6645,0.6979
hkcd,randla,quantile,0.7821,0.7969,0.7894,0.5811,0.6541,0.6153,0.7821,0.7969,0.7894,0.6507,0.7308,0.6884
hkcd,randla,quantile_shrink,0.7822,0.7969,0.7895,0.5811,0.654,0.6153,0.7822,0.7969,0.7895,0.6507,0.7307,0.6884
hkcd,siamese_kpconv,quantile,0.2802,0.998,0.4375,0.1076,0.9283,0.1927,0.2802,0.998,0.4375,0.1133,0.9543,0.2026
hkcd,siamese_kpconv,quantile_shrink,0.2802,0.998,0.4375,0.1076,0.9283,0.1927,0.2802,0.998,0.4375,0.1133,0.9543,0.2026
hkcd,siamese_pointnet,quantile,0.813,0.6619,0.7297,0.4424,0.5414,0.4693,0.813,0.6619,0.7297,0.4348,0.6111,0.5081
hkcd,siamese_pointnet,quantile_shrink,0.8129,0.6621,0.7298,0.4422,0.5417,0.4693,0.8129,0.6621,0.7298,0.4344,0.6114,0.5079
hkcd,siamese_pointnet2,quantile,0.7643,0.7601,0.7622,0.6388,0.6642,0.6512,0.7643,0.7601,0.7622,0.6965,0.7236,0.7098
hkcd,siamese_pointnet2,quantile_shrink,0.7643,0.7601,0.7622,0.6388,0.6642,0.6512,0.7643,0.7601,0.7622,0.6965,0.7236,0.7098
hkcd,siamgcn,quantile,0.8623,0.7197,0.7846,0.5488,0.6785,0.5987,0.8623,0.7197,0.7846,0.5901,0.732,0.6534
hkcd,siamgcn,quantile_shrink,0.8825,0.711,0.7875,0.5743,0.653,0.6071,0.8825,0.711,0.7875,0.6282,0.7101,0.6667
indoorcd,randla,quantile,0.1877,0.2588,0.1901,0.2401,0.3305,0.2403,0.2633,0.3822,0.3118,0.3943,0.381,0.3875
indoorcd,randla,quantile_shrink,0.1876,0.259,0.1902,0.2399,0.3308,0.2403,0.2629,0.3825,0.3117,0.3939,0.3818,0.3877
indoorcd,siamese_kpconv,quantile,0.0627,0.39,0.0907,0.0783,0.4192,0.11,0.0312,0.4917,0.0587,0.0678,0.5625,0.1209
indoorcd,siamese_kpconv,quantile_shrink,0.0628,0.39,0.0908,0.0784,0.419,0.1101,0.0312,0.4917,0.0587,0.0679,0.5624,0.1211
indoorcd,siamese_pointnet,quantile,0.1415,0.2121,0.1306,0.1671,0.2395,0.155,0.1071,0.3254,0.1611,0.2231,0.4193,0.2913
indoorcd,siamese_pointnet,quantile_shrink,0.1412,0.2125,0.1306,0.1671,0.2397,0.155,0.1072,0.3259,0.1613,0.2228,0.4195,0.2911
indoorcd,siamese_pointnet2,quantile,0.2444,0.2713,0.2245,0.2933,0.2682,0.2369,0.3873,0.4165,0.4014,0.5068,0.3353,0.4035
indoorcd,siamese_pointnet2,quantile_shrink,0.2444,0.2713,0.2245,0.2933,0.2682,0.2369,0.3873,0.4165,0.4014,0.5068,0.3353,0.4036
indoorcd,siamgcn,quantile,0.1815,0.1609,0.1345,0.2211,0.2643,0.1839,0.1924,0.2921,0.232,0.3088,0.3025,0.3056
indoorcd,siamgcn,quantile_shrink,0.1815,0.161,0.1345,0.221,0.2644,0.1839,0.1923,0.2921,0.2319,0.3087,0.3025,0.3056
