dataset,model,method,c,lambda,alpha,k,fallback_tau,val_fit_mean_f1
hkcd,icp_euclidean,quantile,0.5,,0.999,,0.98,0.7699
hkcd,icp_euclidean,quantile_shrink,0.5,,0.999,1024.0,,0.7701
hkcd,randla,quantile,0.04,,1.0,,0.54,0.7894
hkcd,randla,quantile_shrink,0.04,,1.0,1024.0,,0.7895
hkcd,siamese_kpconv,quantile,-0.14,,0.5,,0.02,0.406
hkcd,siamese_kpconv,quantile_shrink,-0.14,,0.5,0.0,,0.406
hkcd,siamese_pointnet,quantile,0.02,,0.97,,0.5,0.7297
hkcd,siamese_pointnet,quantile_shrink,0.02,,0.97,64.0,,0.7298
hkcd,siamese_pointnet2,quantile,0.12,,1.0,,0.62,0.7622
hkcd,siamese_pointnet2,quantile_shrink,0.12,,1.0,0.0,,0.7622
hkcd,siamgcn,quantile,0.32,,0.97,,0.78,0.7846
hkcd,siamgcn,quantile_shrink,0.44,,0.85,256.0,,0.7875
