dataset,model,method,c,lambda,alpha,k,fallback_tau,val_fit_mean_f1
urb3dcd_v2_ld,icp_euclidean,quantile,0.02,,0.999,,0.52,0.7598
urb3dcd_v2_ld,icp_euclidean,quantile_shrink,0.02,,1.0,1024.0,,0.76
urb3dcd_v2_ld,siamese_kpconv,quantile,0.42,,0.75,,0.7,0.7972
urb3dcd_v2_ld,siamese_kpconv,quantile_shrink,0.42,,0.75,0.0,,0.7972
urb3dcd_v2_ld,siamese_pointnet,quantile,0.12,,0.5,,0.28,0.7576
urb3dcd_v2_ld,siamese_pointnet,quantile_shrink,0.12,,0.5,0.0,,0.7576
urb3dcd_v2_ld,siamese_pointnet2,quantile,0.68,,0.5,,0.7,0.8196
urb3dcd_v2_ld,siamese_pointnet2,quantile_shrink,0.68,,0.6,4096.0,,0.8196
urb3dcd_v2_ld,siamgcn,quantile,0.64,,0.5,,0.66,0.8415
urb3dcd_v2_ld,siamgcn,quantile_shrink,0.66,,0.5,4096.0,,0.8417
