split,scene,path,pts_t0,pts_t1,xmin,ymin,zmin,xmax,ymax,zmax,ext_x,ext_y,ext_z,change_ratio,cubes_occupied,cubes_kept,cubes_dropped,med_pts_cube_t0,med_pts_cube_t1,class_0,class_1
test,Test/009-2,data/raw/indoorcd_ply\Test\009-2,49358,62339,-1.5224974155426025,-0.5045795440673828,-0.8418276906013489,1.5564790964126587,0.6081014275550842,0.9650824069976807,3.078976631164551,1.1126809120178223,1.8069100379943848,0.0,4,4,0,7731,11269,62339,0
test,Test/009-3,data/raw/indoorcd_ply\Test\009-3,49358,56768,-1.375251293182373,-0.5124654173851013,-0.8518762588500977,1.3523688316345215,0.6644511222839355,0.74574875831604,2.7276201248168945,1.1769165992736816,1.5976250171661377,0.004245349492671928,4,4,0,6808,6603,56527,241
test,Test/009-4,data/raw/indoorcd_ply\Test\009-4,49358,76000,-1.605818748474121,-0.4739095866680145,-0.8697576522827148,1.4748812913894653,0.7051187753677368,1.1131751537322998,3.080699920654297,1.1790283918380737,1.9829328060150146,0.0039868421052631576,4,4,0,8625,14925,75697,303
test,Test/009-5,data/raw/indoorcd_ply\Test\009-5,49358,59424,-1.3173260688781738,-0.4888722002506256,-0.8449574708938599,1.4654240608215332,0.657526433467865,0.74574875831604,2.782750129699707,1.146398663520813,1.5907062292099,0.008817985998922993,4,4,0,6403,6992,58900,524
test,Test/017-2,data/raw/indoorcd_ply\Test\017-2,98177,101198,-1.437700867652893,-1.0847229957580566,-0.8939327001571655,1.160875678062439,1.076707363128662,1.0692040920257568,2.598576545715332,2.1614303588867188,1.9631367921829224,0.0,8,8,0,8151,8729,101198,0
test,Test/017-3,data/raw/indoorcd_ply\Test\017-3,98177,99221,-1.4697017669677734,-1.066788673400879,-0.8939327001571655,1.160875678062439,1.076707363128662,1.1504802703857422,2.630577564239502,2.143496036529541,2.0444130897521973,0.02693986152125054,9,8,1,7542,8164,96548,2673
test,Test/017-4,data/raw/indoorcd_ply\Test\017-4,98177,89244,-1.437700867652893,-1.0807660818099976,-0.8939327001571655,1.160875678062439,1.0870188474655151,1.2016628980636597,2.598576545715332,2.1677849292755127,2.095595598220825,0.0018264533189906323,9,8,1,8095,7255,89081,163
test,Test/017-5,data/raw/indoorcd_ply\Test\017-5,98177,98415,-1.6567492485046387,-1.066788673400879,-0.9113848209381104,1.160875678062439,1.0833325386047363,1.2199066877365112,2.817625045776367,2.1501212120056152,2.131291389465332,0.0036173347558807094,9,8,1,9869,9666,98059,356
test,Test/018-2,data/raw/indoorcd_ply\Test\018-2,208822,203761,-2.572619676589966,1.3856074810028076,-0.04629753157496452,2.2056119441986084,3.497835636138916,3.4258840084075928,4.778231620788574,2.1122281551361084,3.472181558609009,0.0,16,14,2,10005,10418,203761,0
test,Test/018-3,data/raw/indoorcd_ply\Test\018-3,208822,202230,-2.3592758178710938,1.27472984790802,-0.059260640293359756,2.2056119441986084,3.4798424243927,3.4258840084075928,4.564888000488281,2.2051124572753906,3.48514461517334,0.021035454680314494,24,18,6,8693,8190,197976,4254
test,Test/018-4,data/raw/indoorcd_ply\Test\018-4,208822,246571,-2.3592758178710938,1.4989641904830933,-0.042814310640096664,2.5926079750061035,3.4825820922851562,3.4258840084075928,4.951883792877197,1.983617901802063,3.468698263168335,0.0016790295695763087,12,12,0,17112,17517,246157,414
test,Test/018-5,data/raw/indoorcd_ply\Test\018-5,208822,242106,-2.657310962677002,1.2820740938186646,-0.040147460997104645,2.4823710918426514,3.506436586380005,3.4258840084075928,5.139681816101074,2.224362373352051,3.466031551361084,0.007298456048177244,24,22,2,6625,7671,240339,1767
test,Test/019-2,data/raw/indoorcd_ply\Test\019-2,74821,67538,-1.5340449810028076,-1.5758028030395508,-3.5980024337768555,1.0705652236938477,1.514061689376831,0.6244919300079346,2.6046102046966553,3.089864492416382,4.222494125366211,0.005108235363795197,9,4,5,8288,11302,67193,345
test,Test/019-3,data/raw/indoorcd_ply\Test\019-3,74821,64397,-1.5340449810028076,-1.5758028030395508,-3.5980024337768555,1.0705652236938477,1.4907076358795166,0.6884729266166687,2.6046102046966553,3.0665104389190674,4.28647518157959,0.01660015218100222,9,4,5,8288,10767,63328,1069
test,Test/019-4,data/raw/indoorcd_ply\Test\019-4,74821,66607,-1.5340449810028076,-1.5758028030395508,-3.5980024337768555,1.0705652236938477,1.510128140449524,0.5945360660552979,2.6046102046966553,3.085930824279785,4.192538261413574,0.0032128755235936164,9,4,5,8288,11294,66393,214
