model,scene,split,n,change_ratio,auc,f1_at_0.5,best_global_f1,best_global_tau,percube_oracle_pooled,percube_oracle_meancube
randla,009-2,test,61508,0.0,nan,0.0,0.0,0.5,0.0,nan
randla,009-3,test,56768,0.0042,0.856,0.0327,0.0349,0.48,0.1047,0.1047
randla,009-4,test,75073,0.004,0.7006,0.0005,0.0179,0.02,0.0225,0.0336
randla,009-5,test,59424,0.0088,0.7831,0.0448,0.05,0.36,0.0416,0.0827
randla,014-2,val,49660,0.0,nan,0.0,0.0,0.5,0.0,nan
randla,014-3,val,57898,0.0026,0.9599,0.0579,0.1439,0.94,0.1439,0.1439
randla,014-4,val,58069,0.0082,0.9791,0.1206,0.3201,0.92,0.3201,0.3201
randla,014-5,val,56295,0.011,0.9744,0.2977,0.3802,0.74,0.3965,0.4154
randla,017-2,test,101198,0.0,nan,0.0,0.0,0.5,0.0,nan
randla,017-3,test,99171,0.027,0.8113,0.1727,0.1946,0.2,0.3037,0.2428
randla,017-4,test,89170,0.0018,0.9303,0.0096,0.034,0.18,0.3712,0.3712
randla,017-5,test,98218,0.0036,0.8938,0.0886,0.1136,0.68,0.1597,0.1666
randla,018-2,test,198639,0.0,nan,0.0,0.0,0.5,0.0,nan
randla,018-3,test,202230,0.021,0.6978,0.0812,0.1447,0.1,0.2496,0.2414
randla,018-4,test,242224,0.0017,0.4656,0.0,0.0,0.5,0.0,0.0
randla,018-5,test,237330,0.0074,0.564,0.0,0.0096,0.02,0.0373,0.0443
randla,019-2,test,64889,0.0053,0.9393,0.0728,0.0922,0.9,0.1029,0.1029
randla,019-3,test,63654,0.0168,0.6655,0.0,0.0262,0.02,0.0964,0.0964
randla,019-4,test,63780,0.0034,0.9274,0.0586,0.0649,0.6,0.0488,0.0426
randla,019-5,test,72113,0.0163,0.8267,0.1017,0.1068,0.34,0.1371,0.1064
randla,020-2,val,135408,0.004,0.8547,0.03,0.0341,0.38,0.0405,0.0845
randla,020-3,val,132798,0.0356,0.7935,0.2572,0.3996,0.88,0.4899,0.4135
randla,020-4,val,150140,0.0585,0.8342,0.2899,0.3023,0.38,0.4984,0.4312
randla,023-2,test,208496,0.0051,0.7313,0.0258,0.0483,0.98,0.038,0.1015
randla,023-3,test,238419,0.0172,0.989,0.4641,0.702,0.98,0.4498,0.268
randla,023-4,test,247383,0.0188,0.9805,0.3192,0.5898,0.96,0.7004,0.7004
