dataset,model,method,val_mean_iou,val_pool_iou,val_mean_f1,test_mean_iou,test_pool_iou,test_mean_f1
urb3dcd_v2_ld,icp_euclidean,fixed_05,0.6121,0.6112,0.7593,0.579,0.5874,0.7318
urb3dcd_v2_ld,icp_euclidean,f1_optimal,0.6128,0.6115,0.7598,0.5807,0.5889,0.7332
urb3dcd_v2_ld,icp_euclidean,temperature_scaling,0.6129,0.6116,0.7599,0.5808,0.589,0.7333
urb3dcd_v2_ld,icp_euclidean,platt,0.4951,0.4875,0.6587,0.5161,0.5134,0.6807
urb3dcd_v2_ld,icp_euclidean,isotonic,0.6019,0.5988,0.751,0.5767,0.5828,0.7309
urb3dcd_v2_ld,icp_euclidean,quantile_shrink,0.613,0.6117,0.76,0.5807,0.5889,0.7332
urb3dcd_v2_ld,icp_euclidean,otsu_cube,0.6024,0.6009,0.7517,0.5801,0.5877,0.7332
urb3dcd_v2_ld,siamese_kpconv,fixed_05,0.5936,0.594,0.745,0.5597,0.5688,0.7165
urb3dcd_v2_ld,siamese_kpconv,f1_optimal,0.6419,0.6416,0.7819,0.6098,0.6148,0.7574
urb3dcd_v2_ld,siamese_kpconv,temperature_scaling,0.6418,0.6415,0.7818,0.6098,0.6148,0.7574
urb3dcd_v2_ld,siamese_kpconv,platt,0.6379,0.6373,0.7789,0.6045,0.6083,0.7534
urb3dcd_v2_ld,siamese_kpconv,isotonic,0.6327,0.632,0.775,0.5982,0.6014,0.7485
urb3dcd_v2_ld,siamese_kpconv,quantile_shrink,0.6629,0.6615,0.7972,0.6156,0.6221,0.7618
urb3dcd_v2_ld,siamese_kpconv,otsu_cube,0.5797,0.5808,0.7338,0.5392,0.5489,0.6989
urb3dcd_v2_ld,siamese_pointnet,fixed_05,0.5545,0.5494,0.7122,0.5506,0.5525,0.7101
urb3dcd_v2_ld,siamese_pointnet,f1_optimal,0.595,0.5913,0.7456,0.565,0.5709,0.7215
urb3dcd_v2_ld,siamese_pointnet,temperature_scaling,0.5949,0.5913,0.7456,0.5628,0.5689,0.7195
urb3dcd_v2_ld,siamese_pointnet,platt,0.5372,0.5318,0.6974,0.5403,0.5404,0.7015
urb3dcd_v2_ld,siamese_pointnet,isotonic,0.5858,0.5815,0.7381,0.5648,0.5694,0.7216
urb3dcd_v2_ld,siamese_pointnet,quantile_shrink,0.6104,0.6075,0.7576,0.5716,0.5778,0.7268
