dataset,model,method,val_mean_p,val_mean_r,val_mean_f1,test_mean_p,test_mean_r,test_mean_f1,val_pool_p,val_pool_r,val_pool_f1,test_pool_p,test_pool_r,test_pool_f1
hkcd,icp_euclidean,f1_optimal,0.7352,0.7642,0.7494,0.4877,0.7468,0.5884,0.7352,0.7642,0.7494,0.5228,0.785,0.6276
hkcd,icp_euclidean,fixed_05,0.4184,0.9166,0.5745,0.1908,0.9477,0.3161,0.4184,0.9166,0.5745,0.1997,0.9528,0.3302
hkcd,icp_euclidean,isotonic,0.931,0.6492,0.7649,0.7441,0.5316,0.6161,0.931,0.6492,0.7649,0.8239,0.6083,0.6999
hkcd,icp_euclidean,platt,0.9334,0.6472,0.7644,0.7478,0.5279,0.6146,0.9334,0.6472,0.7644,0.8283,0.6051,0.6993
hkcd,icp_euclidean,quantile_shrink,0.8764,0.6868,0.7701,0.6697,0.5986,0.6316,0.8764,0.6868,0.7701,0.7348,0.6645,0.6979
hkcd,icp_euclidean,temperature_scaling,0.8815,0.6831,0.7697,0.6745,0.6015,0.6354,0.8815,0.6831,0.7697,0.739,0.6664,0.7008
hkcd,randla,f1_optimal,0.7825,0.7966,0.7895,0.5815,0.6533,0.6152,0.7825,0.7966,0.7895,0.6513,0.7301,0.6884
hkcd,randla,fixed_05,0.7693,0.8084,0.7883,0.5604,0.6713,0.6103,0.7693,0.8084,0.7883,0.625,0.7451,0.6798
hkcd,randla,isotonic,0.8191,0.749,0.7825,0.6484,0.5971,0.6201,0.8191,0.749,0.7825,0.7275,0.6805,0.7032
hkcd,randla,platt,0.8268,0.7357,0.7786,0.6646,0.5831,0.6186,0.8268,0.7357,0.7786,0.7446,0.6677,0.7041
hkcd,randla,quantile_shrink,0.7822,0.7969,0.7895,0.5811,0.654,0.6153,0.7822,0.7969,0.7895,0.6507,0.7307,0.6884
hkcd,randla,temperature_scaling,0.786,0.7931,0.7895,0.5878,0.6488,0.6168,0.786,0.7931,0.7895,0.6587,0.7263,0.6909
hkcd,siamese_kpconv,f1_optimal,0.2464,0.7265,0.368,0.1294,0.8239,0.2234,0.2464,0.7265,0.368,0.1406,0.8832,0.2425
hkcd,siamese_kpconv,fixed_05,0.2236,0.5879,0.324,0.1347,0.7581,0.2281,0.2236,0.5879,0.324,0.1449,0.7999,0.2454
hkcd,siamese_kpconv,isotonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hkcd,siamese_kpconv,platt,0.0364,0.0017,0.0033,0.1863,0.0737,0.1051,0.0364,0.0017,0.0033,0.2174,0.0444,0.0738
hkcd,siamese_kpconv,quantile_shrink,0.2802,0.998,0.4375,0.1076,0.9283,0.1927,0.2802,0.998,0.4375,0.1133,0.9543,0.2026
hkcd,siamese_kpconv,temperature_scaling,0.2816,0.9983,0.4393,0.1102,0.9217,0.1967,0.2816,0.9983,0.4393,0.1163,0.9526,0.2073
hkcd,siamese_pointnet,f1_optimal,0.8189,0.6557,0.7283,0.4566,0.5354,0.47,0.8189,0.6557,0.7283,0.4282,0.6005,0.4999
hkcd,siamese_pointnet,fixed_05,0.8189,0.6557,0.7283,0.4566,0.5354,0.47,0.8189,0.6557,0.7283,0.4282,0.6005,0.4999
hkcd,siamese_pointnet,isotonic,0.871,0.6162,0.7218,0.4917,0.472,0.4733,0.871,0.6162,0.7218,0.5274,0.5525,0.5397
hkcd,siamese_pointnet,platt,0.9055,0.5624,0.6939,0.5375,0.393,0.4538,0.9055,0.5624,0.6939,0.6778,0.4909,0.5694
hkcd,siamese_pointnet,quantile_shrink,0.8129,0.6621,0.7298,0.4422,0.5417,0.4693,0.8129,0.6621,0.7298,0.4344,0.6114,0.5079
hkcd,siamese_pointnet,temperature_scaling,0.8189,0.6557,0.7283,0.4566,0.5354,0.47,0.8189,0.6557,0.7283,0.4282,0.6005,0.4999
hkcd,siamese_pointnet2,f1_optimal,0.7647,0.7598,0.7622,0.6397,0.6636,0.6514,0.7647,0.7598,0.7622,0.6975,0.723,0.71
hkcd,siamese_pointnet2,fixed_05,0.7145,0.8022,0.7558,0.5698,0.7171,0.6341,0.7145,0.8022,0.7558,0.6191,0.7702,0.6864
hkcd,siamese_pointnet2,isotonic,0.8404,0.6785,0.7508,0.7472,0.5662,0.6406,0.8404,0.6785,0.7508,0.813,0.6382,0.715
hkcd,siamese_pointnet2,platt,0.8277,0.693,0.7544,0.7299,0.5847,0.6469,0.8277,0.693,0.7544,0.7947,0.6543,0.7177
hkcd,siamese_pointnet2,quantile_shrink,0.7643,0.7601,0.7622,0.6388,0.6642,0.6512,0.7643,0.7601,0.7622,0.6965,0.7236,0.7098
hkcd,siamese_pointnet2,temperature_scaling,0.7611,0.7631,0.7621,0.6345,0.6672,0.6504,0.7611,0.7631,0.7621,0.6918,0.7262,0.7086
hkcd,siamgcn,f1_optimal,0.8551,0.723,0.7835,0.5274,0.6887,0.586,0.8551,0.723,0.7835,0.5585,0.7405,0.6368
hkcd,siamgcn,fixed_05,0.7011,0.8085,0.751,0.3589,0.8169,0.4829,0.7011,0.8085,0.751,0.3604,0.8529,0.5067
hkcd,siamgcn,isotonic,0.9077,0.682,0.7788,0.6176,0.6121,0.613,0.9077,0.682,0.7788,0.6848,0.6747,0.6797
hkcd,siamgcn,platt,0.9009,0.6874,0.7798,0.6043,0.6231,0.6107,0.9009,0.6874,0.7798,0.6669,0.6843,0.6755
hkcd,siamgcn,quantile_shrink,0.8825,0.711,0.7875,0.5743,0.653,0.6071,0.8825,0.711,0.7875,0.6282,0.7101,0.6667
hkcd,siamgcn,temperature_scaling,0.8613,0.7184,0.7834,0.5363,0.6811,0.5898,0.8613,0.7184,0.7834,0.571,0.7339,0.6423
indoorcd,randla,f1_optimal,0.1694,0.2673,0.1754,0.2334,0.3408,0.2381,0.2315,0.3991,0.293,0.3783,0.4267,0.401
indoorcd,randla,fixed_05,0.1134,0.4201,0.1522,0.1579,0.4919,0.2043,0.1316,0.5523,0.2126,0.2391,0.5587,0.3348
indoorcd,randla,isotonic,0.2131,0.0473,0.07,0.3024,0.0856,0.1139,0.6016,0.0996,0.1709,0.7485,0.1276,0.2181
indoorcd,randla,platt,0.1758,0.0199,0.033,0.2415,0.0512,0.0727,0.6388,0.0473,0.0881,0.8113,0.075,0.1373
indoorcd,randla,quantile_shrink,0.1876,0.259,0.1902,0.2399,0.3308,0.2403,0.2629,0.3825,0.3117,0.3939,0.3818,0.3877
indoorcd,randla,temperature_scaling,0.1739,0.2569,0.1755,0.237,0.3345,0.2385,0.2384,0.3918,0.2964,0.3868,0.4199,0.4027
indoorcd,siamese_kpconv,f1_optimal,0.0628,0.3899,0.0908,0.0784,0.4187,0.1101,0.0312,0.4915,0.0587,0.0679,0.5621,0.1211
indoorcd,siamese_kpconv,fixed_05,0.0275,0.7313,0.0503,0.0394,0.7235,0.0676,0.0217,0.8315,0.0423,0.0445,0.8849,0.0848
indoorcd,siamese_kpconv,isotonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoorcd,siamese_kpconv,platt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoorcd,siamese_kpconv,quantile_shrink,0.0628,0.39,0.0908,0.0784,0.419,0.1101,0.0312,0.4917,0.0587,0.0679,0.5624,0.1211
indoorcd,siamese_kpconv,temperature_scaling,0.0714,0.1144,0.0695,0.0987,0.1442,0.0838,0.0219,0.1843,0.0392,0.0571,0.239,0.0922
indoorcd,siamese_pointnet,f1_optimal,0.1307,0.2349,0.1228,0.2012,0.2474,0.166,0.0897,0.3638,0.144,0.2304,0.4211,0.2978
indoorcd,siamese_pointnet,fixed_05,0.04,0.7237,0.0709,0.0601,0.7115,0.0952,0.036,0.8703,0.0691,0.0722,0.821,0.1327
indoorcd,siamese_pointnet,isotonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoorcd,siamese_pointnet,platt,0.038,0.0008,0.0016,0.1636,0.0082,0.0139,0.0569,0.0027,0.0051,0.5287,0.0125,0.0244
indoorcd,siamese_pointnet,quantile_shrink,0.1412,0.2125,0.1306,0.1671,0.2397,0.155,0.1072,0.3259,0.1613,0.2228,0.4195,0.2911
indoorcd,siamese_pointnet,temperature_scaling,0.1308,0.2322,0.1223,0.2017,0.2457,0.1661,0.0901,0.3605,0.1442,0.2329,0.4189,0.2993
indoorcd,siamese_pointnet2,f1_optimal,0.2285,0.2795,0.2185,0.2707,0.2886,0.2359,0.3417,0.4403,0.3848,0.4654,0.3599,0.4059
indoorcd,siamese_pointnet2,fixed_05,0.1165,0.5496,0.1594,0.1458,0.6203,0.1944,0.1014,0.731,0.178,0.1904,0.6455,0.2941
indoorcd,siamese_pointnet2,isotonic,0.2374,0.0944,0.1194,0.2938,0.0982,0.1181,0.6436,0.1665,0.2645,0.7359,0.1158,0.2001
indoorcd,siamese_pointnet2,platt,0.2223,0.0696,0.0936,0.2688,0.0803,0.0997,0.6858,0.1306,0.2195,0.751,0.0885,0.1584
indoorcd,siamese_pointnet2,quantile_shrink,0.2444,0.2713,0.2245,0.2933,0.2682,0.2369,0.3873,0.4165,0.4014,0.5068,0.3353,0.4036
indoorcd,siamese_pointnet2,temperature_scaling,0.2282,0.2796,0.2184,0.2704,0.2889,0.2358,0.3412,0.4406,0.3846,0.465,0.3604,0.4061
indoorcd,siamgcn,f1_optimal,0.1717,0.1675,0.133,0.2108,0.2706,0.1816,0.1799,0.3064,0.2267,0.3004,0.3193,0.3096
indoorcd,siamgcn,fixed_05,0.0746,0.4332,0.106,0.0925,0.5041,0.1321,0.0629,0.5842,0.1135,0.1264,0.6246,0.2103
indoorcd,siamgcn,isotonic,0.077,0.0078,0.0128,0.2254,0.0216,0.0355,0.5144,0.0162,0.0314,0.8118,0.0381,0.0728
