dataset,model,method,val_mean_p,val_mean_r,val_mean_f1,test_mean_p,test_mean_r,test_mean_f1,val_pool_p,val_pool_r,val_pool_f1,test_pool_p,test_pool_r,test_pool_f1
urb3dcd_v2_ld,icp_euclidean,otsu_cube,0.6976,0.8162,0.7517,0.6515,0.8504,0.7332,0.6977,0.8125,0.7507,0.6605,0.842,0.7403
urb3dcd_v2_ld,siamese_kpconv,otsu_cube,0.6235,0.8917,0.7338,0.583,0.8794,0.6989,0.6245,0.8924,0.7348,0.5938,0.8789,0.7087
urb3dcd_v2_ld,siamese_pointnet,otsu_cube,0.8139,0.6458,0.7198,0.7409,0.7078,0.7204,0.8125,0.6411,0.7167,0.7483,0.6958,0.7211
urb3dcd_v2_ld,siamese_pointnet2,otsu_cube,0.7225,0.8957,0.7996,0.6966,0.8561,0.7673,0.721,0.8969,0.7994,0.7033,0.8543,0.7715
urb3dcd_v2_ld,siamgcn,otsu_cube,0.8162,0.8577,0.8363,0.7851,0.8874,0.8325,0.8134,0.8575,0.8349,0.7923,0.884,0.8357
urb3dcd_v2_ms,icp_euclidean,otsu_cube,0.4419,0.8645,0.5841,0.4043,0.9006,0.5523,0.4423,0.8622,0.5846,0.409,0.8947,0.5614
urb3dcd_v2_ms,randla,otsu_cube,0.7323,0.8665,0.7937,0.7272,0.8517,0.7841,0.7311,0.8668,0.7932,0.7323,0.849,0.7864
urb3dcd_v2_ms,siamese_kpconv,otsu_cube,0.2656,0.9828,0.4177,0.2465,0.987,0.3904,0.2658,0.9824,0.4184,0.2481,0.9864,0.3965
urb3dcd_v2_ms,siamese_pointnet,otsu_cube,0.2188,0.7389,0.337,0.188,0.8233,0.3017,0.219,0.7269,0.3366,0.1869,0.8111,0.3037
urb3dcd_v2_ms,siamese_pointnet2,otsu_cube,0.7321,0.7177,0.7248,0.7066,0.6486,0.6756,0.7313,0.7174,0.7243,0.7123,0.6435,0.6762
urb3dcd_v2_ms,siamgcn,otsu_cube,0.452,0.5013,0.4747,0.3326,0.5707,0.4125,0.4515,0.4947,0.4721,0.3322,0.5588,0.4167
hkcd,icp_euclidean,otsu_cube,0.4749,0.8789,0.6166,0.2236,0.9063,0.3571,0.4749,0.8789,0.6166,0.2346,0.9165,0.3735
hkcd,randla,otsu_cube,0.7001,0.72,0.7099,0.4115,0.6858,0.5095,0.7001,0.72,0.7099,0.4419,0.7259,0.5493
hkcd,siamese_kpconv,otsu_cube,0.2321,0.5937,0.3337,0.1333,0.7363,0.2249,0.2321,0.5937,0.3337,0.1423,0.7673,0.2401
hkcd,siamese_pointnet,otsu_cube,0.3803,0.6125,0.4693,0.1736,0.6561,0.2733,0.3803,0.6125,0.4693,0.1881,0.7019,0.2967
hkcd,siamese_pointnet2,otsu_cube,0.6483,0.7839,0.7097,0.4312,0.7588,0.5485,0.6483,0.7839,0.7097,0.4636,0.801,0.5873
hkcd,siamgcn,otsu_cube,0.6127,0.7892,0.6898,0.2811,0.8299,0.4133,0.6127,0.7892,0.6898,0.2943,0.8605,0.4385
indoorcd,randla,otsu_cube,0.0944,0.52,0.1383,0.126,0.563,0.1756,0.0988,0.62,0.1704,0.1814,0.5959,0.2782
indoorcd,siamese_kpconv,otsu_cube,0.0298,0.7086,0.0529,0.0384,0.7187,0.0652,0.0226,0.7592,0.044,0.041,0.7376,0.0777
indoorcd,siamese_pointnet,otsu_cube,0.0305,0.7548,0.0554,0.0457,0.761,0.0751,0.0262,0.8595,0.0509,0.0509,0.8157,0.0958
indoorcd,siamese_pointnet2,otsu_cube,0.0686,0.7449,0.1151,0.0888,0.7691,0.1343,0.0565,0.8647,0.106,0.1036,0.7267,0.1813
indoorcd,siamgcn,otsu_cube,0.0344,0.6887,0.0601,0.0498,0.6785,0.0816,0.0291,0.7461,0.056,0.0569,0.734,0.1057
