dataset,model,median_cubes_per_scene,cube_drop_pct,pct_zero_change_cubes,test_f1_optimal,test_quantile_shrink,quantile_shrink_gain,oracle_ceiling,oracle_headroom
urb3dcd_v2_ld,siamese_pointnet,140.0,9.8,2.9,0.7215,0.7268,0.0053,0.7772,0.0557
urb3dcd_v2_ld,siamese_pointnet2,140.0,9.8,2.9,0.7861,0.7864,0.0003,0.8139,0.0278
urb3dcd_v2_ld,siamese_kpconv,140.0,9.8,2.9,0.7574,0.7618,0.0044,0.7949,0.0375
urb3dcd_v2_ld,siamgcn,140.0,9.8,2.9,0.8433,0.8433,0.0,0.8691,0.0258
urb3dcd_v2_ms,siamese_pointnet,142.0,9.4,3.0,0.3028,0.3028,0.0,0.3236,0.0208
urb3dcd_v2_ms,siamese_pointnet2,142.0,9.4,3.0,0.6808,0.6811,0.0003,0.7261,0.0453
urb3dcd_v2_ms,siamese_kpconv,142.0,9.4,3.0,0.6822,0.6939,0.0117,0.7152,0.033
urb3dcd_v2_ms,siamgcn,142.0,9.4,3.0,0.4051,0.4284,0.0233,0.4517,0.0466
urb3dcd_v2_ms,randla,142.0,9.4,3.0,0.8052,0.8062,0.001,0.8274,0.0222
hkcd,siamese_pointnet,180.0,0.3,14.6,0.47,0.4693,-0.0007,0.5299,0.0599
hkcd,siamese_pointnet2,180.0,0.3,14.6,0.6514,0.6512,-0.0002,0.6786,0.0272
hkcd,siamese_kpconv,180.0,0.3,14.6,0.2234,0.1927,-0.0307,0.2837,0.0603
hkcd,siamgcn,180.0,0.3,14.6,0.586,0.6071,0.0211,0.7082,0.1222
hkcd,randla,180.0,0.3,14.6,0.6152,0.6153,0.0001,0.6849,0.0697
indoorcd,siamese_pointnet,7.0,23.9,78.4,0.166,0.155,-0.011,0.2891,0.1231
indoorcd,siamese_pointnet2,7.0,23.9,78.4,0.2359,0.2369,0.001,0.3703,0.1344
indoorcd,siamese_kpconv,7.0,23.9,78.4,0.1101,0.1101,0.0,0.3261,0.216
indoorcd,siamgcn,7.0,23.9,78.4,0.1816,0.1839,0.0023,0.2993,0.1177
indoorcd,randla,7.0,23.9,78.4,0.2381,0.2403,0.0022,0.3251,0.087
