dataset,model,c,alpha,k,val_best,test_deployed,test_global,n_grid,n_near,frac_near,test_near_median,test_near_p05,test_near_p95,test_near_min,frac_near_beating_global,test_shared
urb3dcd_v2_ld,icp_euclidean,0.01999999999999999,1.0,1024.0,0.76,0.7332,0.7332,5978,1267,0.2119,0.7326,0.7258,0.7348,0.7147,0.3812,0.7335
urb3dcd_v2_ld,siamese_kpconv,0.42,0.75,0.0,0.7972,0.7618,0.7574,5978,338,0.0565,0.7601,0.7542,0.7625,0.7498,0.7899,0.7584
urb3dcd_v2_ld,siamese_pointnet,0.12,0.5,0.0,0.7576,0.7268,0.7215,5978,164,0.0274,0.726,0.7166,0.7308,0.7121,0.7988,0.7226
urb3dcd_v2_ld,siamese_pointnet2,0.6799999999999999,0.6,4096.0,0.8196,0.7864,0.7861,5978,1393,0.233,0.7824,0.775,0.7861,0.7684,0.051,0.7857
urb3dcd_v2_ld,siamgcn,0.6599999999999999,0.5,4096.0,0.8417,0.8433,0.8433,5978,2225,0.3722,0.8393,0.8273,0.8438,0.8181,0.1227,0.8415
urb3dcd_v2_ms,icp_euclidean,0.37999999999999995,0.97,0.0,0.7381,0.7164,0.7175,5978,582,0.0974,0.7156,0.7007,0.719,0.6987,0.3608,0.7172
urb3dcd_v2_ms,randla,0.7,0.5,0.0,0.819,0.8062,0.8052,5978,1347,0.2253,0.8031,0.7981,0.806,0.7951,0.1901,0.8047
urb3dcd_v2_ms,siamese_kpconv,0.48000000000000004,0.97,0.0,0.693,0.6939,0.6822,5978,58,0.0097,0.6853,0.6657,0.6947,0.6502,0.8103,0.6901
urb3dcd_v2_ms,siamese_pointnet,0.98,0.5,0.0,0.3271,0.3028,0.3028,5978,5880,0.9836,0.2953,0.2953,0.2965,0.2953,0.0167,0.3028
urb3dcd_v2_ms,siamese_pointnet2,0.34,0.5,1024.0,0.7261,0.6811,0.6808,5978,1385,0.2317,0.6755,0.6644,0.681,0.6386,0.0722,0.6778
urb3dcd_v2_ms,siamgcn,0.32,0.5,0.0,0.4899,0.4284,0.4051,5978,1038,0.1736,0.4201,0.3945,0.4365,0.3857,0.8632,0.4074
hkcd,icp_euclidean,0.5,0.999,1024.0,0.7701,0.6316,0.5884,5978,29,0.0049,0.6272,0.6203,0.632,0.6107,1.0,0.6246
hkcd,randla,0.03999999999999998,1.0,1024.0,0.7895,0.6153,0.6152,5978,489,0.0818,0.6151,0.5898,0.621,0.5854,0.4888,0.6162
hkcd,siamese_kpconv,-0.14,0.5,0.0,0.406,0.2112,0.2234,5978,106,0.0177,0.2115,0.211,0.2122,0.211,0.0,0.2241
hkcd,siamese_pointnet,0.01999999999999999,0.97,64.0,0.7298,0.4693,0.47,5978,420,0.0703,0.4722,0.444,0.479,0.4184,0.5857,0.4717
hkcd,siamese_pointnet2,0.12,1.0,0.0,0.7622,0.6512,0.6514,5978,679,0.1136,0.6471,0.6288,0.6532,0.6202,0.2032,0.6496
hkcd,siamgcn,0.44,0.85,256.0,0.7875,0.6071,0.586,5978,807,0.135,0.5886,0.5544,0.6209,0.5389,0.5291,0.5899
indoorcd,randla,0.54,0.925,64.0,0.1902,0.2403,0.2381,5978,342,0.0572,0.2372,0.2315,0.2415,0.229,0.3304,0.2411
indoorcd,siamese_kpconv,0.18,1.0,4096.0,0.0908,0.1101,0.1101,5978,756,0.1265,0.1061,0.0986,0.1131,0.0959,0.1852,0.1097
indoorcd,siamese_pointnet,0.44,0.75,4.0,0.1306,0.155,0.166,5978,357,0.0597,0.1624,0.1469,0.1703,0.142,0.2017,0.1683
indoorcd,siamese_pointnet2,0.36000000000000004,0.99,0.0,0.2245,0.2369,0.2359,5978,236,0.0395,0.2402,0.2169,0.2468,0.2141,0.6864,0.2375
indoorcd,siamgcn,0.32,0.97,64.0,0.1345,0.1839,0.1816,5978,897,0.1501,0.1783,0.1673,0.1837,0.163,0.233,0.1836
