dataset,model,comparison,n_test_scenes,n_test_cubes,f1_a,f1_b,delta,boot_ci_lo,boot_ci_hi,boot_p,wilcoxon_nonzero_n,wilcoxon_p
urb3dcd_v2_ld,icp_euclidean,quantile_shrink_vs_f1_optimal,3,765,0.7332,0.7332,-0.0,-0.0001,0.0001,0.755124,3,
urb3dcd_v2_ld,icp_euclidean,quantile_shrink_vs_otsu_cube,3,765,0.7332,0.7332,0.0,-0.0017,0.0021,0.990501,3,
urb3dcd_v2_ld,siamese_kpconv,quantile_shrink_vs_f1_optimal,3,765,0.7618,0.7574,0.0043,-0.0018,0.0105,0.167983,3,
urb3dcd_v2_ld,siamese_kpconv,quantile_shrink_vs_otsu_cube,3,765,0.7618,0.6989,0.0629,0.0516,0.0748,0.0002,3,
urb3dcd_v2_ld,siamese_pointnet,quantile_shrink_vs_f1_optimal,3,765,0.7268,0.7215,0.0054,0.0005,0.011,0.028997,3,
urb3dcd_v2_ld,siamese_pointnet,quantile_shrink_vs_otsu_cube,3,765,0.7268,0.7204,0.0064,0.0,0.0127,0.047395,3,
urb3dcd_v2_ld,siamese_pointnet2,quantile_shrink_vs_f1_optimal,3,765,0.7864,0.7861,0.0003,-0.0,0.0007,0.057594,3,
urb3dcd_v2_ld,siamese_pointnet2,quantile_shrink_vs_otsu_cube,3,765,0.7864,0.7673,0.0191,0.0153,0.0231,0.0002,3,
urb3dcd_v2_ld,siamgcn,quantile_shrink_vs_f1_optimal,3,765,0.8433,0.8433,0.0,-0.0001,0.0001,0.975102,3,
urb3dcd_v2_ld,siamgcn,quantile_shrink_vs_otsu_cube,3,765,0.8433,0.8325,0.0108,0.0087,0.013,0.0002,3,
urb3dcd_v2_ms,icp_euclidean,quantile_shrink_vs_f1_optimal,3,768,0.7164,0.7175,-0.0011,-0.0014,-0.0009,0.0002,3,
urb3dcd_v2_ms,icp_euclidean,quantile_shrink_vs_otsu_cube,3,768,0.7164,0.5523,0.1641,0.1557,0.1726,0.0002,3,
urb3dcd_v2_ms,randla,quantile_shrink_vs_f1_optimal,3,768,0.8062,0.8052,0.001,0.0005,0.0015,0.0002,3,
urb3dcd_v2_ms,randla,quantile_shrink_vs_otsu_cube,3,768,0.8062,0.7841,0.0221,0.0179,0.0264,0.0002,3,
urb3dcd_v2_ms,siamese_kpconv,quantile_shrink_vs_f1_optimal,3,768,0.6939,0.6822,0.0117,0.0074,0.0159,0.0002,3,
urb3dcd_v2_ms,siamese_kpconv,quantile_shrink_vs_otsu_cube,3,768,0.6939,0.3904,0.3035,0.292,0.3146,0.0002,3,
urb3dcd_v2_ms,siamese_pointnet,quantile_shrink_vs_f1_optimal,3,768,0.3028,0.3028,0.0,0.0,0.0,1.0,0,
urb3dcd_v2_ms,siamese_pointnet,quantile_shrink_vs_otsu_cube,3,768,0.3028,0.3017,0.0011,-0.0039,0.0064,0.70033,3,
urb3dcd_v2_ms,siamese_pointnet2,quantile_shrink_vs_f1_optimal,3,768,0.6811,0.6808,0.0003,0.0,0.0006,0.047395,3,
urb3dcd_v2_ms,siamese_pointnet2,quantile_shrink_vs_otsu_cube,3,768,0.6811,0.6756,0.0055,0.0039,0.0071,0.0002,3,
urb3dcd_v2_ms,siamgcn,quantile_shrink_vs_f1_optimal,3,768,0.4284,0.4051,0.0233,0.0196,0.0271,0.0002,3,
urb3dcd_v2_ms,siamgcn,quantile_shrink_vs_otsu_cube,3,768,0.4284,0.4125,0.0159,0.0133,0.0185,0.0002,3,
hkcd,icp_euclidean,quantile_shrink_vs_f1_optimal,2,358,0.6316,0.5884,0.0432,0.0221,0.0679,0.0002,2,
hkcd,icp_euclidean,quantile_shrink_vs_otsu_cube,2,358,0.6316,0.3571,0.2744,0.2352,0.3119,0.0002,2,
hkcd,randla,quantile_shrink_vs_f1_optimal,2,358,0.6153,0.6152,0.0001,-0.0001,0.0003,0.29537,2,
hkcd,randla,quantile_shrink_vs_otsu_cube,2,358,0.6153,0.5095,0.1058,0.0825,0.1323,0.0002,2,
hkcd,siamese_kpconv,quantile_shrink_vs_f1_optimal,2,358,0.1927,0.2234,-0.0308,-0.0486,-0.0136,0.0004,2,
hkcd,siamese_kpconv,quantile_shrink_vs_otsu_cube,2,358,0.1927,0.2249,-0.0323,-0.0556,-0.0079,0.009799,2,
hkcd,siamese_pointnet,quantile_shrink_vs_f1_optimal,2,358,0.4693,0.47,-0.0007,-0.0047,0.004,0.821118,2,
hkcd,siamese_pointnet,quantile_shrink_vs_otsu_cube,2,358,0.4693,0.2733,0.196,0.1545,0.2289,0.0002,2,
hkcd,siamese_pointnet2,quantile_shrink_vs_f1_optimal,2,358,0.6512,0.6514,-0.0002,-0.0004,0.0,0.093591,2,
hkcd,siamese_pointnet2,quantile_shrink_vs_otsu_cube,2,358,0.6512,0.5485,0.1028,0.079,0.1293,0.0002,2,
hkcd,siamgcn,quantile_shrink_vs_f1_optimal,2,358,0.6071,0.586,0.021,0.0078,0.0343,0.0034,2,
hkcd,siamgcn,quantile_shrink_vs_otsu_cube,2,358,0.6071,0.4133,0.1937,0.1581,0.2297,0.0002,2,
indoorcd,randla,quantile_shrink_vs_f1_optimal,160,1329,0.2403,0.2381,0.0022,-0.0009,0.0073,0.129587,125,0.867909
indoorcd,randla,quantile_shrink_vs_otsu_cube,160,1329,0.2403,0.1756,0.0648,0.0324,0.0558,0.0002,143,0.0
indoorcd,siamese_kpconv,quantile_shrink_vs_f1_optimal,160,1329,0.1101,0.1101,-0.0,-0.0001,0.0,0.20118,91,0.0
indoorcd,siamese_kpconv,quantile_shrink_vs_otsu_cube,160,1329,0.1101,0.0652,0.0449,0.0291,0.0498,0.0002,146,6e-06
indoorcd,siamese_pointnet,quantile_shrink_vs_f1_optimal,160,1329,0.155,0.166,-0.011,-0.0126,0.0003,0.060994,98,0.007583
