split,scene,path,pts_t0,pts_t1,xmin,ymin,zmin,xmax,ymax,zmax,ext_x,ext_y,ext_z,change_ratio,cubes_occupied,cubes_kept,cubes_dropped,med_pts_cube_t0,med_pts_cube_t1,class_0,class_1,class_2,class_3,class_4,class_5,class_6
test,Test/LyonS,data/raw/urb3dcd_v2_ld\Test\LyonS,303206,308925,1841912.25,5175492.5,166.1639862060547,1842949.0,5176251.5,238.2487030029297,1036.75,759.0,72.084716796875,0.1269919883466861,1051,815,236,292,294,269694,17367,10457,9250,967,940,250
test,Test/LyonS3,data/raw/urb3dcd_v2_ld\Test\LyonS3,300010,303925,1841912.75,5175492.5,166.12106323242188,1842948.625,5176252.0,238.24925231933594,1035.875,759.5,72.12818908691406,0.2461396726165995,1051,819,232,291,290,229117,26952,36188,483,2969,6559,1657
test,Test/LyonS4,data/raw/urb3dcd_v2_ld\Test\LyonS4,299931,312717,1841912.375,5175492.0,166.1956329345703,1842949.0,5176251.0,237.85882568359375,1036.625,759.0,71.66319274902344,0.15105990400266056,1052,821,231,291,295,265478,27599,3938,3780,601,9631,1690
train,Train/LyonN,data/raw/urb3dcd_v2_ld\Train\LyonN,164397,160539,1841836.25,5176179.0,167.5314483642578,1842946.25,5176607.5,281.2872314453125,1110.0,428.5,113.75578308105469,0.21545543450501126,569,411,158,288,291,125950,24536,1262,26,383,7787,595
train,Train/LyonN1,data/raw/urb3dcd_v2_ld\Train\LyonN1,161174,156977,1841836.375,5176179.0,167.56983947753906,1842946.5,5176608.0,283.43408203125,1110.125,429.0,115.86424255371094,0.12398631646674353,571,397,174,291,289,137514,13021,1344,1833,0,1998,1267
train,Train/LyonN11,data/raw/urb3dcd_v2_ld\Train\LyonN11,149493,166315,1841836.625,5176179.0,167.50791931152344,1842946.5,5176607.5,281.2752380371094,1109.875,428.5,113.76731872558594,0.1835673270600968,568,399,169,287,294,135785,21303,1273,2339,154,3407,2054
train,Train/LyonN12,data/raw/urb3dcd_v2_ld\Train\LyonN12,168618,161262,1841836.25,5176179.0,167.53501892089844,1842946.875,5176607.5,283.4772644042969,1110.625,428.5,115.94224548339844,0.20169661792610782,570,409,161,299,291,128736,431,25381,3366,870,1480,998
train,Train/LyonN14,data/raw/urb3dcd_v2_ld\Train\LyonN14,168495,160995,1841836.25,5176179.0,167.53472900390625,1842946.375,5176608.0,281.27569580078125,1110.125,429.0,113.740966796875,0.1467871673033324,569,427,142,293,290,137363,1467,14976,4984,334,113,1758
train,Train/LyonN2,data/raw/urb3dcd_v2_ld\Train\LyonN2,150583,164629,1841835.75,5176179.5,167.5541229248047,1842946.0,5176608.0,281.32318115234375,1110.25,428.5,113.76905822753906,0.12275480018708733,570,404,166,288,292,144420,9151,4201,5846,688,141,182
train,Train/LyonN3,data/raw/urb3dcd_v2_ld\Train\LyonN3,165042,162555,1841835.75,5176179.0,167.5641326904297,1842946.875,5176607.0,283.4176330566406,1111.125,428.0,115.85350036621094,0.30195933683983883,571,403,168,291,290,113470,17347,25411,1759,1446,1902,1220
train,Train/LyonN4,data/raw/urb3dcd_v2_ld\Train\LyonN4,156749,163599,1841835.75,5176179.5,167.56906127929688,1842946.75,5176608.0,283.43829345703125,1111.0,428.5,115.86923217773438,0.06480479709533676,570,401,169,290,292,152997,0,3840,1242,1308,2662,1550
train,Train/LyonN5,data/raw/urb3dcd_v2_ld\Train\LyonN5,168448,160986,1841835.75,5176179.0,167.52908325195312,1842946.125,5176608.0,283.4546203613281,1110.375,429.0,115.925537109375,0.09337457915595145,571,411,160,295,293,145954,869,8782,243,560,4108,470
train,Train/LyonN9,data/raw/urb3dcd_v2_ld\Train\LyonN9,164783,159848,1841836.0,5176179.5,167.55628967285156,1842946.75,5176608.0,283.4321594238281,1110.75,428.5,115.87586975097656,0.13325784495270507,570,420,150,290,289,138547,12414,2220,898,75,4786,908
val,Val/Lyon,data/raw/urb3dcd_v2_ld\Val\Lyon,249547,242133,1841847.875,5173766.0,163.47048950195312,1842634.0,5174697.5,205.547119140625,786.125,931.5,42.076629638671875,0.1729256235209575,853,665,188,289,288,200262,27796,2405,353,3733,6491,1093
val,Val/Lyon1,data/raw/urb3dcd_v2_ld\Val\Lyon1,246477,240794,1841847.75,5173766.5,163.4626007080078,1842636.75,5174697.5,205.2677764892578,789.0,931.0,41.80517578125,0.2079412277714561,853,664,189,289,288,190723,619,39081,2540,5595,678,1558
