model,scene,split,n,change_ratio,auc,f1_at_0.5,best_global_f1,best_global_tau,percube_oracle_pooled,percube_oracle_meancube
icp_euclidean,Lyon,val,240316,0.1725,0.9471,0.7677,0.7781,0.6,0.8111,0.7236
icp_euclidean,Lyon1,val,238716,0.2091,0.904,0.7509,0.7509,0.48,0.7778,0.7153
icp_euclidean,LyonS,test,305617,0.1275,0.9477,0.6819,0.7175,0.88,0.7676,0.7189
icp_euclidean,LyonS3,test,300198,0.2477,0.9216,0.7909,0.7909,0.5,0.811,0.7577
icp_euclidean,LyonS4,test,308026,0.1514,0.9356,0.7225,0.7239,0.56,0.7652,0.6894
icp_euclidean,POOLED,val,479032,0.1907,0.9258,0.7587,0.7589,0.52,,
icp_euclidean,POOLED,test,913841,0.1751,0.9311,0.7401,0.7417,0.54,,
siamese_kpconv,Lyon,val,240316,0.1725,0.9531,0.7419,0.7838,0.7,0.8257,0.7809
siamese_kpconv,Lyon1,val,238716,0.2091,0.9479,0.748,0.7807,0.68,0.8215,0.7953
siamese_kpconv,LyonS,test,305617,0.1275,0.9556,0.6741,0.7449,0.72,0.7835,0.7661
siamese_kpconv,LyonS3,test,300198,0.2477,0.9378,0.7676,0.7838,0.64,0.8192,0.778
siamese_kpconv,LyonS4,test,308026,0.1514,0.9448,0.7078,0.7506,0.68,0.782,0.7334
siamese_kpconv,POOLED,val,479032,0.1907,0.9509,0.7453,0.7817,0.7,,
siamese_kpconv,POOLED,test,913841,0.1751,0.9455,0.7251,0.7628,0.68,,
siamese_pointnet,Lyon,val,240316,0.1725,0.9241,0.7521,0.7709,0.3,0.8055,0.7118
siamese_pointnet,Lyon1,val,238716,0.2091,0.8969,0.6722,0.7208,0.26,0.7644,0.6972
siamese_pointnet,LyonS,test,305617,0.1275,0.9253,0.7087,0.7089,0.54,0.7806,0.7192
siamese_pointnet,LyonS3,test,300198,0.2477,0.8954,0.7219,0.7577,0.26,0.7955,0.723
siamese_pointnet,LyonS4,test,308026,0.1514,0.915,0.6998,0.7158,0.28,0.7556,0.6726
siamese_pointnet,POOLED,val,479032,0.1907,0.9118,0.7092,0.7432,0.28,,
siamese_pointnet,POOLED,test,913841,0.1751,0.9104,0.7118,0.7275,0.3,,
siamese_pointnet2,Lyon,val,240316,0.1725,0.9696,0.8109,0.826,0.7,0.8409,0.7869
siamese_pointnet2,Lyon1,val,238716,0.2091,0.9636,0.8037,0.813,0.66,0.8353,0.7966
siamese_pointnet2,LyonS,test,305617,0.1275,0.9656,0.7697,0.7824,0.68,0.8142,0.7896
siamese_pointnet2,LyonS3,test,300198,0.2477,0.9493,0.7978,0.7984,0.52,0.8205,0.7778
siamese_pointnet2,LyonS4,test,308026,0.1514,0.9658,0.7675,0.7846,0.74,0.8069,0.746
siamese_pointnet2,POOLED,val,479032,0.1907,0.9671,0.8069,0.8187,0.7,,
siamese_pointnet2,POOLED,test,913841,0.1751,0.9599,0.7817,0.7879,0.64,,
siamgcn,Lyon,val,240316,0.1725,0.9765,0.8532,0.8577,0.66,0.8764,0.8272
siamgcn,Lyon1,val,238716,0.2091,0.9645,0.8248,0.8263,0.6,0.8571,0.8152
siamgcn,LyonS,test,305617,0.1275,0.982,0.8219,0.8385,0.8,0.8697,0.8287
siamgcn,LyonS3,test,300198,0.2477,0.9708,0.8499,0.8509,0.6,0.8732,0.8343
siamgcn,LyonS4,test,308026,0.1514,0.9812,0.8385,0.8461,0.76,0.8644,0.7967
siamgcn,POOLED,val,479032,0.1907,0.9707,0.8375,0.84,0.66,,
siamgcn,POOLED,test,913841,0.1751,0.978,0.8394,0.8453,0.7,,
