split,scene,path,pts_t0,pts_t1,xmin,ymin,zmin,xmax,ymax,zmax,ext_x,ext_y,ext_z,change_ratio,cubes_occupied,cubes_kept,cubes_dropped,med_pts_cube_t0,med_pts_cube_t1,class_0,class_1,class_2,class_3,class_4,class_5,class_6
test,Test/LyonS,data/raw/urb3dcd_v2_ms\Test\LyonS,303056,6167673,1841912.25,5175492.0,162.75181579589844,1842949.5,5176253.0,239.91220092773438,1037.25,761.0,77.16038513183594,0.1269597139796484,135,120,15,2611,51514,5384627,345762,209569,184640,19268,18926,4881
test,Test/LyonS3,data/raw/urb3dcd_v2_ms\Test\LyonS3,299978,6069098,1841912.25,5175492.0,162.62681579589844,1842949.5,5176252.0,239.92579650878906,1037.25,760.0,77.29898071289062,0.24616920010189322,135,119,16,2576,51479,4575073,538668,722724,9761,59078,130526,33268
test,Test/LyonS4,data/raw/urb3dcd_v2_ms\Test\LyonS4,299775,6240562,1841912.0,5175492.0,163.1942596435547,1842949.5,5176252.0,239.41363525390625,1037.5,760.0,76.21937561035156,0.15108831544338475,135,120,15,2588,51799,5297686,550700,78758,75148,12069,192545,33656
train,Train/LyonN,data/raw/urb3dcd_v2_ms\Train\LyonN,164364,3205026,1841835.75,5176179.0,164.514404296875,1842946.875,5176608.0,281.3198547363281,1111.125,429.0,116.80545043945312,0.21500980023250982,75,70,5,2467,49916,2515914,489015,24878,507,7582,155375,11755
train,Train/LyonN1,data/raw/urb3dcd_v2_ms\Train\LyonN1,161143,3135277,1841835.25,5176179.0,165.0634307861328,1842947.0,5176607.5,284.877685546875,1111.75,428.5,119.81425476074219,0.1238184058378255,75,69,6,2527,49890,2747072,259731,26714,36495,0,39781,25484
train,Train/LyonN11,data/raw/urb3dcd_v2_ms\Train\LyonN11,149429,3318520,1841835.75,5176178.5,164.07302856445312,1842946.875,5176608.0,283.69708251953125,1111.125,429.5,119.62405395507812,0.18329285344069043,75,68,7,2463,51279,2710259,425440,25477,46000,2918,67768,40658
train,Train/LyonN12,data/raw/urb3dcd_v2_ms\Train\LyonN12,168670,3219651,1841835.75,5176179.0,164.9412841796875,1842946.875,5176608.0,284.7911071777344,1111.125,429.0,119.84982299804688,0.20197623903957293,75,71,4,2616,50395,2569358,8621,507579,66951,17501,29719,19922
train,Train/LyonN14,data/raw/urb3dcd_v2_ms\Train\LyonN14,168518,3214501,1841835.625,5176179.0,165.09527587890625,1842946.875,5176608.0,282.6777038574219,1111.25,429.0,117.58242797851562,0.14670301860226517,75,69,6,2527,51025,2742924,29369,299335,98831,6785,2432,34825
train,Train/LyonN2,data/raw/urb3dcd_v2_ms\Train\LyonN2,150621,3287428,1841835.625,5176178.5,164.28944396972656,1842947.0,5176608.0,283.0386962890625,1111.375,429.5,118.74925231933594,0.12317136679495339,75,68,7,2518,51764,2882511,183457,84209,116975,13663,2825,3788
train,Train/LyonN3,data/raw/urb3dcd_v2_ms\Train\LyonN3,165017,3244999,1841835.625,5176179.0,164.73184204101562,1842947.0,5176608.0,284.4086608886719,1111.375,429.0,119.67681884765625,0.30169285106097105,75,69,6,2578,50761,2266006,346268,506945,35168,28697,37512,24403
train,Train/LyonN4,data/raw/urb3dcd_v2_ms\Train\LyonN4,156738,3266921,1841835.625,5176179.0,164.80104064941406,1842947.375,5176608.0,284.5137939453125,1111.75,429.0,119.71275329589844,0.06471904279289276,75,69,6,2510,51798,3055489,0,76320,24804,26090,53167,31051
train,Train/LyonN5,data/raw/urb3dcd_v2_ms\Train\LyonN5,168398,3214143,1841835.625,5176179.0,165.1855926513672,1842947.0,5176608.0,285.25115966796875,1111.375,429.0,120.06556701660156,0.093546864591899,75,71,4,2605,51053,2913470,17596,174837,4932,11382,82195,9731
train,Train/LyonN9,data/raw/urb3dcd_v2_ms\Train\LyonN9,164727,3192311,1841835.875,5176179.0,164.26976013183594,1842946.875,5176608.0,285.3056945800781,1111.0,429.0,121.03593444824219,0.13302776577845957,75,68,7,2513,51111,2767645,248280,44140,17707,1533,94990,18016
val,Val/Lyon,data/raw/urb3dcd_v2_ms\Val\Lyon,249551,4836563,1841847.75,5173766.0,160.5588836669922,1842634.25,5174698.0,208.0648193359375,786.5,932.0,47.50593566894531,0.17284236760691424,111,104,7,2583,51424,4000600,554398,48207,7153,74975,129264,21966
val,Val/Lyon1,data/raw/urb3dcd_v2_ms\Val\Lyon1,246459,4810205,1841847.75,5173766.0,160.7021026611328,1842636.625,5174698.0,205.09898376464844,788.875,932.0,44.396881103515625,0.20815744859106836,111,105,6,2580,50130,3808925,12524,781162,51085,111940,13709,30860
