model,scene,split,n,change_ratio,auc,f1_at_0.5,best_global_f1,best_global_tau,percube_oracle_pooled,percube_oracle_meancube
icp_euclidean,Lyon,val,4811917,0.1724,0.9171,0.4713,0.7605,0.9,0.757,0.658
icp_euclidean,Lyon1,val,4780917,0.209,0.8781,0.5085,0.7183,0.86,0.7294,0.6539
icp_euclidean,LyonS,test,6097648,0.1275,0.9305,0.3794,0.7062,0.96,0.7331,0.6711
icp_euclidean,LyonS3,test,5997232,0.2479,0.8987,0.5637,0.7597,0.86,0.7589,0.6853
icp_euclidean,LyonS4,test,6164882,0.1511,0.9067,0.4191,0.7032,0.92,0.6917,0.6253
icp_euclidean,POOLED,val,9592834,0.1906,0.897,0.4907,0.7363,0.86,,
icp_euclidean,POOLED,test,18259762,0.175,0.9081,0.4615,0.7242,0.9,,
randla,Lyon,val,4811917,0.1724,0.9605,0.8115,0.8315,0.76,0.846,0.7869
randla,Lyon1,val,4780917,0.209,0.9508,0.7963,0.8067,0.7,0.8357,0.7916
randla,LyonS,test,6097648,0.1275,0.9656,0.7874,0.809,0.74,0.8302,0.7863
randla,LyonS3,test,5997232,0.2479,0.9433,0.7997,0.8027,0.6,0.8285,0.7757
randla,LyonS4,test,6164882,0.1511,0.9636,0.7994,0.81,0.68,0.8235,0.7503
randla,POOLED,val,9592834,0.1906,0.9562,0.8031,0.8174,0.72,,
randla,POOLED,test,18259762,0.175,0.9573,0.7965,0.8053,0.68,,
siamese_kpconv,Lyon,val,4811917,0.1724,0.9139,0.3491,0.6734,0.98,0.7064,0.6037
siamese_kpconv,Lyon1,val,4780917,0.209,0.9039,0.404,0.7033,0.98,0.7231,0.639
siamese_kpconv,LyonS,test,6097648,0.1275,0.9296,0.2815,0.6768,0.98,0.7111,0.6536
siamese_kpconv,LyonS3,test,5997232,0.2479,0.9036,0.4483,0.7208,0.96,0.7464,0.6592
siamese_kpconv,LyonS4,test,6164882,0.1511,0.9192,0.3055,0.6661,0.98,0.688,0.6078
siamese_kpconv,POOLED,val,9592834,0.1906,0.9091,0.3771,0.6901,0.98,,
siamese_kpconv,POOLED,test,18259762,0.175,0.9185,0.3501,0.6898,0.96,,
siamese_pointnet,Lyon,val,4811917,0.1724,0.7461,0.294,0.3507,0.98,0.3604,0.3495
siamese_pointnet,Lyon1,val,4780917,0.209,0.4553,0.3457,0.3457,0.02,0.4028,0.3863
siamese_pointnet,LyonS,test,6097648,0.1275,0.5644,0.2262,0.2373,0.98,0.2631,0.2718
siamese_pointnet,LyonS3,test,5997232,0.2479,0.5428,0.3973,0.4056,0.96,0.424,0.3965
siamese_pointnet,LyonS4,test,6164882,0.1511,0.6117,0.2625,0.2698,0.98,0.2836,0.2751
siamese_pointnet,POOLED,val,9592834,0.1906,0.586,0.3202,0.3274,0.98,,
siamese_pointnet,POOLED,test,18259762,0.175,0.5596,0.2979,0.305,0.98,,
siamese_pointnet2,Lyon,val,4811917,0.1724,0.9343,0.7306,0.7317,0.42,0.7584,0.6714
siamese_pointnet2,Lyon1,val,4780917,0.209,0.9232,0.7117,0.7247,0.28,0.7621,0.6893
siamese_pointnet2,LyonS,test,6097648,0.1275,0.9305,0.6825,0.6831,0.46,0.7293,0.6929
siamese_pointnet2,LyonS3,test,5997232,0.2479,0.8992,0.668,0.6984,0.16,0.7433,0.6681
siamese_pointnet2,LyonS4,test,6164882,0.1511,0.9159,0.6697,0.675,0.38,0.7058,0.6343
siamese_pointnet2,POOLED,val,9592834,0.1906,0.9294,0.7202,0.7257,0.34,,
siamese_pointnet2,POOLED,test,18259762,0.175,0.9149,0.6721,0.6826,0.3,,
siamgcn,Lyon,val,4811917,0.1724,0.7566,0.5503,0.551,0.54,0.5323,0.5269
siamgcn,Lyon1,val,4780917,0.209,0.6596,0.4193,0.4406,0.32,0.4896,0.4711
siamgcn,LyonS,test,6097648,0.1275,0.698,0.368,0.3804,0.66,0.438,0.4632
siamgcn,LyonS3,test,5997232,0.2479,0.6559,0.4667,0.4677,0.46,0.5179,0.4821
siamgcn,LyonS4,test,6164882,0.1511,0.6938,0.4088,0.4413,0.76,0.3991,0.4108
siamgcn,POOLED,val,9592834,0.1906,0.707,0.4815,0.4856,0.42,,
siamgcn,POOLED,test,18259762,0.175,0.6768,0.4189,0.4244,0.62,,
